asset_id,asset_type,purchase_date,warranty_expiry,cost,department,status,vendor,owner,criticality,replacement_priority,business_impact_score,asset_age,incident_count,downtime_hours,age_score,incident_score,downtime_score,priority_score,impact_score,risk_score,risk_category,target_high_risk,predicted_risk_probability
1,Storage,2023-01-09,2026-01-08,8439,Finance,In Maintenance,Chapman-Arnold,Julie Howell,High,5,8,3.106849315068493,3.0,13.0,0.38809034907597534,0.375,0.325,1.0,0.8,0.525118069815195,Medium Risk,1,0.75
2,Laptop,2024-02-04,2027-02-03,2479,IT,In Maintenance,Munoz-Meadows,Joshua Moore,Low,2,2,2.0356164383561643,3.0,6.0,0.2542778918548939,0.375,0.15,0.4,0.2,0.2833555783709788,Low Risk,0,0.0
3,Network Device,2025-05-18,2028-05-17,4171,HR,Retired,Rodriguez-Williams,Natasha Hernandez,Low,4,2,0.7506849315068493,1.0,3.0,0.09377138945927448,0.125,0.075,0.8,0.2,0.2212542778918549,Low Risk,0,0.0
4,Server,2022-01-10,2025-01-09,13742,Operations,In Maintenance,Alvarez LLC,Donald Bradford,Low,4,9,4.104109589041096,2.0,13.0,0.512662559890486,0.25,0.325,0.8,0.9,0.4975325119780972,Medium Risk,1,0.82
5,Laptop,2019-03-22,2022-03-21,2264,Finance,Active,Hernandez-Taylor,Shawn Jackson,Low,3,4,6.912328767123288,1.0,2.0,0.8634496919917864,0.125,0.05,0.6,0.4,0.3701899383983573,Low Risk,0,0.0
6,Laptop,2021-06-16,2024-06-15,1888,Finance,Retired,Contreras PLC,Sara Patrick,Low,1,8,4.673972602739726,1.0,6.0,0.5838466803559206,0.125,0.15,0.2,0.8,0.33426933607118414,Low Risk,0,0.0
7,Desktop,2022-06-22,2025-06-21,1413,Finance,Active,Washington-Morse,Christopher Bryant,Medium,1,5,3.6575342465753424,2.0,15.0,0.4568788501026694,0.25,0.375,0.2,0.5,0.34637577002053394,Low Risk,0,0.0
8,Server,2025-10-24,2028-10-23,11141,Operations,Active,"Johnson, Farley and Robinson",Kerry Gonzalez,High,5,7,0.3150684931506849,2.0,15.0,0.039356605065023954,0.25,0.375,1.0,0.7,0.4128713210130048,Medium Risk,0,0.04
9,Storage,2023-09-30,2026-09-29,5950,IT,Active,Cunningham PLC,Aimee Ray,High,5,7,2.3835616438356166,1.0,3.0,0.29774127310061604,0.125,0.075,1.0,0.7,0.3670482546201232,Low Risk,0,0.0
10,Storage,2022-03-13,2025-03-12,6945,Operations,Retired,Roberts Group,Erin Gregory,High,2,8,3.9342465753424656,0.0,0.0,0.4914442162902122,0.0,0.0,0.4,0.8,0.27828884325804243,Low Risk,0,0.0
11,Server,2025-11-13,2028-11-12,12529,HR,Retired,Garza Group,Daniel Briggs,High,4,5,0.2602739726027397,4.0,20.0,0.0325119780971937,0.5,0.5,0.8,0.5,0.4515023956194388,Medium Risk,0,0.16
12,Storage,2023-04-26,2026-04-25,5588,Finance,In Maintenance,"Rice, Martinez and Gonzalez",Brenda Freeman,Medium,5,5,2.813698630136986,2.0,8.0,0.3514715947980835,0.25,0.2,1.0,0.5,0.4102943189596167,Medium Risk,0,0.01
13,Network Device,2022-03-18,2025-03-17,7655,HR,In Maintenance,Gilbert PLC,Jordan Lopez,Medium,2,7,3.9205479452054797,1.0,3.0,0.48973305954825463,0.125,0.075,0.4,0.7,0.3154466119096509,Low Risk,0,0.0
14,Network Device,2020-08-05,2023-08-05,2873,IT,In Maintenance,"Hunter, Petersen and Navarro",Mackenzie Baker MD,Low,3,10,5.536986301369863,3.0,17.0,0.6916495550992471,0.375,0.425,0.6,1.0,0.5758299110198495,Medium Risk,1,0.91
15,Server,2020-05-07,2023-05-07,9837,Finance,Retired,Hardy-Bradford,Sharon Parker,Medium,3,1,5.7835616438356166,2.0,10.0,0.7224503764544832,0.25,0.25,0.6,0.1,0.3744900752908966,Low Risk,0,0.1
16,Storage,2018-04-04,2021-04-03,3803,Risk,Retired,Clay-Foster,Dr. Melissa Caldwell MD,Medium,3,4,7.876712328767123,6.0,23.0,0.9839151266255989,0.75,0.575,0.6,0.4,0.6867830253251197,Medium Risk,1,0.97
17,Storage,2018-12-08,2021-12-07,8772,IT,Retired,Mccoy-Reyes,Jon Murray,High,5,5,7.197260273972603,1.0,8.0,0.8990417522245038,0.125,0.2,1.0,0.5,0.4823083504449008,Medium Risk,0,0.09
18,Desktop,2018-08-03,2021-08-02,998,Compliance,Retired,Boyle-Watson,Cheryl Hicks,High,3,8,7.545205479452055,1.0,3.0,0.9425051334702259,0.125,0.075,0.6,0.8,0.4510010266940452,Medium Risk,0,0.04
19,Laptop,2025-07-05,2028-07-04,2186,HR,Retired,Valentine-Smith,William Vincent,High,1,5,0.6191780821917808,2.0,14.0,0.07734428473648186,0.25,0.35,0.2,0.5,0.26546885694729633,Low Risk,0,0.0
20,Server,2023-04-21,2026-04-20,11807,IT,Active,"Williams, Lopez and Payne",Shannon Barrera,High,5,6,2.8273972602739725,2.0,8.0,0.35318275154004103,0.25,0.2,1.0,0.6,0.4256365503080082,Medium Risk,0,0.01
21,Storage,2020-10-26,2023-10-26,11221,HR,Active,Hall and Sons,William Rocha,Medium,4,5,5.3123287671232875,1.0,4.0,0.663586584531143,0.125,0.1,0.8,0.5,0.3852173169062286,Low Risk,0,0.02
22,Server,2022-11-02,2025-11-01,6886,Operations,Active,Arroyo Group,Edward Reed,High,2,7,3.293150684931507,3.0,24.0,0.4113620807665982,0.375,0.6,0.4,0.7,0.4797724161533196,Medium Risk,0,0.13
23,Storage,2021-04-09,2024-04-08,8992,Finance,In Maintenance,"Smith, Hunt and May",David Hansen,High,3,9,4.86027397260274,4.0,11.0,0.6071184120465435,0.5,0.275,0.6,0.9,0.5514236824093087,Medium Risk,1,0.74
24,Laptop,2019-06-20,2022-06-19,1931,HR,Retired,Thomas LLC,John Harris,Low,3,10,6.6657534246575345,1.0,5.0,0.8326488706365504,0.125,0.125,0.6,1.0,0.46902977412731006,Medium Risk,0,0.28
25,Network Device,2018-11-28,2021-11-27,7230,HR,Active,"Bryant, Wilkerson and Johnson",Dwayne Bennett,Low,2,8,7.2246575342465755,3.0,18.0,0.9024640657084189,0.375,0.45,0.4,0.8,0.5629928131416838,Medium Risk,1,0.58
26,Laptop,2021-05-12,2024-05-11,2268,Risk,In Maintenance,Brown Group,Wendy Martin,Low,2,2,4.76986301369863,1.0,4.0,0.5958247775496235,0.125,0.1,0.4,0.2,0.26666495550992475,Low Risk,0,0.0
27,Network Device,2025-11-05,2028-11-04,7743,HR,Retired,Wyatt-Barrett,David Browning,Medium,1,3,0.2821917808219178,4.0,22.0,0.035249828884325804,0.5,0.55,0.2,0.3,0.34204996577686514,Low Risk,0,0.0
28,Laptop,2025-03-13,2028-03-12,1076,HR,In Maintenance,Small-Kelly,Elizabeth Roman,High,1,4,0.9315068493150684,4.0,21.0,0.1163586584531143,0.5,0.525,0.2,0.4,0.36827173169062283,Low Risk,0,0.09
29,Storage,2021-10-25,2024-10-24,5222,Operations,In Maintenance,Soto and Sons,William Morgan,Medium,5,7,4.315068493150685,2.0,9.0,0.5390143737166324,0.25,0.225,1.0,0.7,0.4828028747433265,Medium Risk,0,0.06
